"index	문자내용",,,
"ham	환영합니다???? ",,,
"ham	안녕하세요 ㅎㅎ",,,
"ham	광주에는 코코없쥬 ?",,,
"ham	없어요",,,
"ham	https://www.costco.co.kr/events",,,
"ham	하나 만어주세요 ㅎㅎ",,,
"ham	ㅇ벤트하길래",,,
"ham	코스트코 어오면 롯데 망할것 같은데 ",,,
"ham	롯데가 왜망해요",,,
"ham	롯데 진짜 별로거든요",,,
"ham	빅 이라고 아세요 ?",,,
"ham	",,,
"ham	빅알아유",,,
"ham	첨 어보는데요",,,
"ham	코스트코 같은 매장인데",,,
"ham	거의다 망했어요 ",,,
"ham	롯데껀데",,,
"ham	이모티콘",,,
"ham	샵검색 : #빅 진월동",,,
"ham	이마트는 트레이더스",,,
"ham	환영합니다???? ",,,
"ham	여긴 하나 있어요",,,
"ham	오 장사되나보네요",,,
"ham	??공지 읽어주시고 하트꾹?",,,
"ham	저 죄송한데 라라 포인트로 깊콘 구매하기는 왜 안되나요?",,,
"ham	자꾸 실패뜨네요",,,
"ham	안녕하세용",,,
"ham	까루프라고 아세요 ?",,,
"ham	",,,
"ham	롯데맥스마트가 광산구라 ",,,
"ham	남구시민가 빅 이용많이해요",,,
"ham	파바도 잇고 스벅도 잇고 다이소도 있어서",,,
"ham	빅 태어나서 첨 어봤어요",,,
"ham	신기하다",,,
"ham	거기에 헬스도 있고 사우나도 있어요",,,
"ham	쿠팡 파트너스는 뭐예용?",,,
"ham	신기하당",,,
"ham	더현대나 스타필드 같은건가여?",,,
"ham	규모는작아요",,,
"ham	신세계에서 스타필드는 잘만든거같음",,,
"ham	지금 그 안에서 일하고 있는데",,,
"ham	점심시간에 밥먹고 별마당도서관가서 책보다 옷 쇼핑하고 하기 가능한",,,
"ham	무슨일해요 ?",,,
"ham	회사 사무직이요",,,
"ham	",,,
"ham	꿀보직이네",,,
"ham	샵검색 : #진월동 빅",,,
"ham	이정도되요",,,
"ham	/쿠팡파트너스",,,
"ham	링크 공유 가능합니다.",,,
"ham	이게 뭐예요?",,,
"ham	이건 너무작은데요 ㅎ",,,
"ham	약간",,,
"ham	타이어가게 느낌",,,
"ham	그래도있는거는다있어요",,,
"ham	삭제된 메시지입니다.",,,
"ham	동네 빅",,,
"ham	폐업",,,
"ham	롯데거구나",,,
"ham	이건데",,,
"ham	롯데마트말고도 하나 더 있었군여",,,
"ham	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=001&oid=079&aid=0002393952",,,
"ham	2012년 이네요 ㅋ",,,
"ham	신기신기",,,
"ham	 동넨 트레이더스뿐",,,
"ham	는 트레이더스 코스트코 근처네요",,,
"ham	삼성",,,
"ham	저도 필기까지 붙고 코로나로 너무 끌어서",,,
"ham	면접 안 갔었는뎅",,,
"ham	연봉많은데 가는게좋쥬",,,
"ham	혹시 모빌원 0w40 실버 엔진오일 핫딜은 없을까요?",,,
"ham	몽쉘크림/카카오/사과/딸기/마가렛트/카스타드등 5곽 골라담기",,,
"ham	전회사가 돈은 많이 벌었엇는데",,,
"ham	워라밸이 극악이라 지금 회사 왔네요 ㅋ",,,
"ham	연봉은 반토막이지만 만족 중",,,
"ham	저녁준비까지 다하고 조카 곧 하원할시간인데 . 잠이 쏟아지네여",,,
"ham	20분만 취침",,,
"ham	깨워드림",,,
"ham	http://mobile.tmon.co.kr/deals/3926590178",,,
"ham	사진",,,
"ham	50분에 차와요 ㅠㅠ",,,
"ham	저 내려가요 ",,,
"ham	헉 그럼 안되겠네요",,,
"ham	저도 돈벌거면 가정부가 밥차려주던시절",,,
"ham	청소하고 빨래하고 다림질가지다해주던",,,
"ham	티셔츠도 다림질해줘서 좀 빨리맛가긴하지만",,,
"ham	ㅡㅡㅡㅋ",,,
"ham	롯데가 왜 망하는지 아세요?",,,
"ham	마케팅을 정말 이상하게 하거든요",,,
"ham	그러니 망하지",,,
"ham	전 롯데 아예 안가요",,,
"ham	이마트만 가지",,,
"ham	광주 시민 거의 이마트만 가지 롯데 안갈껄요?",,,
"ham	전 롯데 가능한한 불매 중이라",,,
"ham	이마트나 트레이더스나 홈플로 ㅋ",,,
"ham	저도 이마트 홈플만 가여",,,
"ham	9900",,,
"ham	홈플도 마케팅이 좀 많이 부족하긴하죠",,,
"ham	상전 모시고 엘베 타는중.",,,
"ham	ㅋ",,,
"ham	롯데 안가게됨",,,
"ham	귀요미 조카님",,,
"ham	9900",,,
"ham	지금뿔낫어용",,,
"ham	편의점 못가게 했다구 ",,,
"ham	악 ㅋ",,,
"ham	왜 고모가 뭘 안사줬어요?",,,
"ham	제 최애 ",,,
"ham	이거 편의점 5곳 돌아다녔는데 없더라구요",,,
"ham	진짜 화났었어요",,,
"ham	어후 그런소리 하지마여 ㅋ",,,
"ham	에 먹을게 널려있아여",,,
"ham	저….",,,
"ham	창고에여",,,
"ham	네 . 마자요 창고이예요",,,
"ham	마트라던데",,,
"ham	세달은 살수 잇을거에요 저는",,,
"ham	없는게 없다는 소문이",,,
"ham	20110",,,
"ham	도주횽네는 전쟁터져도 육개월버틸듯",,,
"ham	부산까지 려요",,,
"ham	부산",,,
"ham	앜ㅋ",,,
"ham	한번 가보고 싶ㄷ군",,,
"ham	부산사시는구낭",,,
"ham	부산산 상어에요",,,
"ham	이모티콘",,,
"ham	이모티콘",,,
"ham	ㅋ",,,
"ham	졸귀탱형이군",,,
"ham	이번주에부산갑니다",,,
"ham	도 부산 자주 가는뎅",,,
"ham	16740",,,
"ham	잼니 고모가 pc방 오픈해서 ",,,
"ham	오오",,,
"ham	그니깐 에몽님 주소가 어디예요? ㅋ",,,
"ham	호텔잡고 자주 놀러가용",,,
"ham	PC방 ~",,,
"ham	저도 털러가게 ㅋ",,,
"ham	6개월이라니 ㅋ",,,
"ham	2세트 총 4개 21720   개당 5430",,,
"ham	 광주대 근처요",,,
"ham	부산에는 맛를 잘 찾으면 많아요 ㅋ",,,
"ham	디저트 맛있는데도 많아요",,,
"ham	마자여",,,
"ham	이모티콘",,,
"ham	해물찜??",,,
"ham	부산 놀러가서 맛 털어오려구여",,,
"ham	존맛이던대여??",,,
"ham	아",,,
"ham	이모티콘",,,
"ham	부산이야기하니 ",,,
"ham	광주대근처 접수.",,,
"ham	잼니어무니 탈 난거 생각난다",,,
"ham	에몽님 찾기 삼만리 해야겠네",,,
"ham	샵검색 : #부산 마파람 해물찜",,,
"ham	[카카오맵",,,
"ham	24610",,,
"ham	사진",,,
"ham	껍데기 꼭 드세요",,,
"ham	영롱",,,
"ham	어머 껍데기 ㅠㅠ",,,
"ham	부산은 딴거 필요없슴돠",,,
"ham	꼼장어가 짱",,,
"ham	꾹꾹 눌러서 구워주신다구여",,,
"ham	갑자기 꼼장어 먹고 싶네",,,
"ham	부산에 그거 먹엇운데",,,
"ham	조개구이 ㅠㅠ",,,
"ham	https://truevital.co.kr/shop_view/?idx=66",,,
"ham	이모티콘",,,
"ham	[통라이프",,,
"ham	역쉬 배우신분ㅋ",,,
"ham	너무맛잇죠",,,
"ham	와 근데",,,
"ham	요세 pc방엄청 좋던데옄ㅋ",,,
"ham	혹시 부산 꼼장아 맛 어딘가요?",,,
"ham	우리때는 알아서 라면도 물부어 먹엇눈데",,,
"ham	먹었던곳 말고 다른곳 가보려구요",,,
"ham	진짜 부산 가면 전 꼼장어만 먹구 와요",,,
"ham	와 미텨",,,
"ham	꼼장어 최애",,,
"ham	스타벅스 라임패션티 11일까지만 판매하고 단종이래요",,,
"ham	저 스벅에서 그것만 먹는데 하",,,
"ham	뭔지 모른 일인",,,
"ham	맛있는 거 죄다 단종시키네요",,,
"ham	요즘 스벅 안가서 .ㅋ",,,
"ham	아. 곰장어는 제가 안먹어서.",,,
"ham	ㅠㅠ",,,
"ham	회는 그냥 회센터 가요",,,
"ham	거기가 제일 싸서",,,
"ham	는 회 사랑 ",,,
"ham	사진",,,
"ham	8월에 부산가서 밀면>낙곱새>오마카세>회 먹고 올 거에여",,,
"ham	ㅎㅎㅎㅎㅎㅎ",,,
"ham	올웨이즈같은거에요 1명더 성사되면 100원에 무배",,,
"ham	저방가요~",,,
"ham	네 그래샤 스샷만 올렷어요",,,
"ham	낙곱새 어디요?",,,
"ham	이런것도 잇다고",,,
"ham	올려드린거에영 ",,,
"ham	치즈님 왠지 미식가 같으다",,,
"ham	제비꽃절임을 드신 분이라ㅣ.",,,
"ham	알려둬요",,,
"ham	낙곱새라도 먹게",,,
"ham	낙곱새 조방낙지가 맛나대서 가보려구여",,,
"ham	부산 친구가 ",,,
"ham	체인점이긴 할 거에영",,,
"ham	개미",,,
"ham	조방낙지",,,
"ham	접수",,,
"ham	근데 부산회 글케 맛난지 몰겠더라구요",,,
"ham	회센터가서 여러번 먹긴 했는데.",,,
"ham	아 좋다 ",,,
"ham	조방낙지는 조방낙지할매가 젤 맛잇어요 ",,,
"ham	꼼장어가 제입맛엔 최고 ㅋ",,,
"ham	저도 꼼장어 좋아해여 ㅜ",,,
"ham	낙곱새는",,,
"ham	근데 이번에 혼자 갈 거라",,,
"ham	동래에 원조 가세요",,,
"ham	혼밥 가능한 곳으로",,,
"ham	거기가 제일 맛있음",,,
"ham	ㅜㅁㅜ",,,
"ham	혼밥이라니 ㅠㅠ",,,
"ham	혼자 놀러간 적이 없는 거 같고",,,
"ham	회사에서 여름휴가 일주일 주는데 친구 시간이 안 맞아서",,,
"ham	혼자 가려구여",,,
"ham	ㅠㅠㅠㅠ",,,
"ham	그래도 친한 언니랑 6월에 제주도도 가여 ㅎㅎ",,,
"ham	또 제주도 가고프다",,,
"ham	부럽네요 치즈님",,,
"ham	거기 우리야 ",,,
"ham	제주도 너무많이가서",,,
"ham	외국가고싶다",,,
"ham	코로나 없을때는 1년에 두번은 꼬박 외국나갔는데",,,
"ham	단골아저씨 대구원조 달구지막창 초벌돼지막창180gx3팩/불막창.갈매기살.통꼬리족.소불고기",,,
"ham	지금 해외 나가는건 살인행위죠 ㅋ",,,
"ham	저도 해외가고싶.",,,
"ham	5",,,
