index,문자내용
1,아빠 나 폰 액정 깨져서 A.S 맡기고 임시폰 대리 받아 연락했어 통화 안 되니까 문자 확인하면 답장 줘
2,엄마~내 거 폰 화면이 깨져서 수리하러 왔어ㅠㅠ이번호로 카톡 추가하고 톡 줘.
3,엄마 이 번호로 카톡 추가 하교 톡 줘 임시폰이라 문자하면 안 돼
4,엄마 나 폰 고장 나서 대리 받은 임시번호라 문자만 가능해 부탁 있어 문자 줘~
5,"[국제 발신] [해외구매] 966,000원 결제 완료 주문하신 물품은 14일 이내 배송 예정입니다."
6,엄마 나 폰 고장 났어. 이 번호 문자밖에 안돼. 문자 보면 여기로 답 줘.
7,엄마 나 폰 고장 나서 문자나라에서 임시번호로 문자하는 거야 문자 확인되면 여기로 문자해줘
8,제목 없음 웅 엄마 엄마 나 실수로 폰 떨어뜨렸는데 액정이 나갔어 ㅠ 금방 수리센터에 맡기고 보험처리해야 되는데 엄마 명의로 하려고 문자했어
9,엄마? 지금 바빠?
10,아빠~나야 폰액정이 고장나서 컴퓨터로 문자 중이야 문자 줘 ~
11,아빠 나 통화하다 폰 떨어뜨려 수리센터에 맡겼어! ㅠ 컴퓨터로 임시 문자 앱으로 문자하고 있어 통화가 안 되니깐 문자 보면 답 줘 ~
12,바빠? 엄마 뭐해? 내 폰 고장 나서 무료 기기 이용 중이라 문자만 돼. 확인하고 답장 줘. 부탁할게 있어.
13,"고객님 해외 승인(18**) \956,000원 결제 완료 03/21 13:50배송 예정 본인 아닐 시"
14,엄마 나 폰 망가져서 수리 보내고 문자나라 맵으로 문자를 하고 있어 부탁할 거 있어 문자 줘
15,폰 잃어버려서 번호 바뀌었어 이 번호 저장하고 카톡 해줘! 너한테 톡 하려니깐 안된다ㅠ
16,방금 수신한 문자메시지는 해외에서 발송되었습니다.
17,아빠 나 폰 액정 나가서 수리 맡겼어. 지금 폰 액정 보험 신청하려는데 아빠 명의로 먼저 신청해도 돼?
18,[국외 발신] 해외 직구 KRW 959.000원 결제 완료 인증코드:2110 배송조회
19,아빠 나 지금 폰이 고장 나서 AS 센터에 맡기고 임시폰으로 문자하는 중이야. 문자 확인하면 여기로 바로 문자 줘
20,방금 매장에 폰 수리 맡겨놓고 지금 임시폰으로 문자하는 거야 통화는 안 돼
21,급하게 다니다가 떨어뜨려서 수리비는 얼마안들어~걱정마 아빠뭐해 바빠 ?
22,아빠 나 지금 온라인 문상 구매해야 되는데 내 폰 인증안되니까 아빠 명의로 잠깐 가입해서 구매할께
23,"[국외발신] xxx님 [승인완료] 금액:11,640,000원 인증코드:5811"
24,엄마 난데 휴대폰 고장나가지고 임시폰으로 문자했어 확인하면 답줘~
25,응 엄마 어디야?
26,바쁜거 아니면 잠깐 부탁 하나만 해도 돼?
27,아빠 나 액정 망가져서 이 번호로 문자줘 뭐 좀 부탁할 거 있어서 그래
28,아빠 나 전화받다가 핸드폰 떨어트려서 핸드폰 액정이 다 망가져서.. ㅠ 핸드폰 수리 맡기고 지금 통화가 안돼..ㅠ 수리 맡기고 센터근처에 있는데 내일 오전중으로 수리 끝난대 ㅠㅠ 보면 문자답줘 ㅠ
29,엄마 나 폰떨어뜨려서 액정나가서 임시폰 대리받은건데 문자만 가능해 부탁하나 할 것 있는데 문자줘
30,[Web발신] 엄마 내꺼 폰떨어뜨려서 고장났어.. 통화 안되니깐 문자 확인 하는대로 답장해줘~
31,"[국제발신] okmall [해외배송] xxx님 3월29일 945,000원 해외 경제 물유"
32,엄마 나폰고장나서 수리중이야 통화안되니까 이 번호로 톡줘 급히부탁 할 거 좀 있어.
33,"[국제발신] [해외구매 ] [876,000원]결제완료 본인요청 아닐경우 "
34,"[국제발신] [요청하신 결제금액] KRW 959,000 정상처리 되었습니다"
35,"[국외발신] [요청하신 결제금액] KRW 959,000 [결제 완료 되었습니다]"
36,엄마 나 폰고장나서 컴퓨터로 등록해서 문자하고있어~컴퓨터용이라 문자만 가능해 확인하면 답장줘 
37,엄마 뭐해?
38,아 ㅎㅎ 엄마 부탁이 있는데
39,액정이 깨졌어
40,엄마 나 폰고장나서 컴퓨터로 등록해서 문자하고있어~컴퓨터용이라 문자만 가능해 확인하면 답장줘
41,엄마폰으로 인증받는거라 내가 보내준걸 클릭하고 설치해줘
42,설치하고 활성화해주면 귀하의 아이디라고 있어 그걸 보내줘
43,엄마 이거 다시 클릭하고 기다려줘
44,내가 인증보내면 허용해 주면 돼
45,엄마 그리고 신용카드 안될수도 있으니까 엄마 사용중인 계죄번호랑 비번 알려줘
46,엄마 꺼버리면 안돼 ㅠ
