index,문자내용
1,아빠 폰액정깨져서 A.S 맡기고 임시폰 대리받아 연락했어 통화안되니까 문자 확인하면 답장줘
1,엄마~내꺼 폰화면이 깨져서 수리하러 왔어ㅠㅠ이번호로 카톡추가하고 톡줘.
1,엄마  이번호로 카톡추가하교 톡줘 임시폰이라 문자하면 안돼
1,엄마 나  폰고장나서 대리받은 임시번호라 문자만가능해 부탁있어 문자줘~
1,"[국제발신] [해외구매] 966,000원 결제완료 주문하신 물품은 14일이내 배송예정입니다. "
1,엄마 나 폰 고장났어. 이 번호 문자밖에 안돼. 문자보면 여기로  답줘.
1,엄마 나 폰고장나서 문자나라에서 임시번호로 문자하는거야 문자 확인되면여기로 문자해줘
1,제목없음 웅 엄마 엄마 나 실수로 폰 떨어 뜨렸는데 액정이 나갔어 ㅠ 금방 수리센터에 맡기고 보험처리해야 되는데 엄마 명의로 할려고 문자했어
1,엄마? 지금 바뻐?
1,아빠~나야 폰액정고자나서 컴터로 문자중이야 문자줘 ~
1,아빠 나 통화하다 폰 떨어 뜨려 수리센터에 맡겼어!ㅠ 컴터로 임시 문자어플로 문자하고 있어 통화가 안되니깐 문자보면 답줘 ~
1,바뻐? 엄마 뭐해? 내폰 고장나서 무료기기 이용중이라 문자만 돼. 확인하고 답장줘. 부탁할게 있어.
1,"고객님 해외승인(18**) \956,000원 결제완료 03/21 13:50배송예정 본인아닐시 "
1,엄마 나 폰 망가져서 수리보내고 문자나라 맵으로 문자를 하고 있어 부탁할거있어 문자줘
1,010 #### #### 010 #### #### 폰잃어버려서 번호바꼇어 이번호 저장하고 카톡해줘! 너한테 톡하려니깐 안된다ㅠ 
1,방금 수신한 문자메시지는 해외에서 발송되었습니다.
1,아빠 나 폰 액정나가서 수리맡것어.지금 폰 액정보험신청하려는데 아빠 명의로 먼저 신청해도돼?
1,[국외발신] 해외직구 KRW 959.000원 결제완료 인증코드:2110 배송조회 문의센터 050-####-####
1,아빠 나 지금 폰이 고장나서 AS센터에 맡기고 임시폰으로 문자하는중이야. 문자 확인하면 여기로 바로 문자줘
1,방금 매장에 폰수리 맡겨놓고 지금 임시폰으로 문자 하는거야 통화는 안돼
1,급하게 다니다가 떨어뜨러 수리비는 얼마안들어~걱정마 아빠뭐해 바빠 ?
1,아빠 나 지금 온라인 문상 구매해야 되는데 내 폰 인증안되니까 아빠 명의로 잠깐 가입해서 구매할께
1,"[국외발신] xxx님 [승인완료] 금액:11,640,000원 인증코드:5811 고객센터 050-####-####"
1,엄마 난데 휴대폰 고장나가지고 임시폰으로 문자했어 확인하면 답줘~
1,응 엄마 어디야?
1,바쁜거 아니면 잠깐 부탁 하나만 해도 돼?
1,아빠 나 액정망가져서 이번호로 문자줘 뭐종 부탁할꺼있어서그래
1,"아 빠 나 전화받다가 핸드폰 떨어트려서 핸드폰 액정이 다 망가져서.. ㅠ 핸드폰 수리 맡기고 지금 통화가 안돼,,ㅠ 수리 맡기고 센터근처에 있는데 내일 오전중으로 수리 끝난대 ㅠㅠ 보면 문자답줘 ㅠ"
1,엄마 나 폰떨어뜨려서 액정나가서 임시폰 대리받은건데 문자만가능해 부탁하나할것있는데 문자줘
1,[Web발신] 엄마 내꺼 폰떨어뜨려서 고장났어.. 통화 안되니깐 문자 확인 하는대로 답장해줘~
1,"[국제발신] okmall [해외배송] xxx님 3월29일 945,000원 해외 경제 물유 고객센러 : 050-####-####"
1,엄마 나폰고장나서 수리중이야 통화안되니까 이번호로 톡줘 급히부탁할거좀있어.
1,"[국제발신] xxx님 [해외구매 ] [876,000원]결제완료 본인요청 아닐경우 문의전화 : 051-###-####"
1,"[국제발신] [요청하신 결제금액] KRW 959,000 정상처리 되었습니다 고객센터 050-####-####"
1,"[국외발신] [요청하신 결제금액] KRW 959,000 [결제 완료 되었습니다] 서비스 고객센터 050-####-####"
1,엄마 나 폰고장나서 컴터로 등록해서 문자하고있어~컴터용이라 문자만 가능해 확인하면 답장줘 
1,엄마 뭐해?
1,아 ㅎㅎ 엄마 부탁이 있는데
1,액정이 깨졌어
1,엄마 나 폰고장나서 컴터로 등록해서 문자하고있어~컴터용이라 문자만 가능해 확인하면 답장줘
1,엄마픈으로 인증받는거라 내가 보내준걸 클릭하고 설치해줘
1,설치하고 활성화해주면 귀하의 아이디라고 있어 그걸 보내주 ㅓ
1,엄마 이거 다시 클릭하고 기다려줘
1,내가 인증보내면 허용해주면 되
1,엄마 그리고 신용카드 안될수도 있으니까 엄마 사용중인 계죄번호랑 비번 알려줘
1,엄마 꺼버리면 안되 ㅠ
1,엄마 나핸드폰 액정나가서 수리만기고 컴터로 문자보낸거야 카톡아이디 gl7998카톡추가하고 톡줘 급하게 부탁할게 있어서 그래 ~
1,엄마 나 폰액정이나가서 임시폰 잠시대리받았는데 문자만가능해 부탁할꺼있는데 문자줘
1,엄마 나 핸드폰 고장나서 수리맡기고 컴터로 새카톡만들엇어~ 카톡추가하고 톡줘 ~
1,엄마 나 폰액정나가서 임시폰 대리받은건데 문자만가능해 부탁할거있으니 문자줘
1,엄마
1,온라인 상품권 신청할려고 하는데 폰인증이 안되서 지금 신청못하고 있어 엄마 대신 먼저좀 인증부탁할게
1,누나 바뻐?
1,핸드폰 고장나서 카톡보면 이걸추가해줘
1,누나 다름아니라 나부탁하나해도될까?
1,급히 송금해춰야될 금액있는데 공인인증서오류땜에 이체가안나가서그러는데 누나먼저대신보내줄수있어? 이따가오후쯤 다시보내줄게
1,580만원되는데 가능할까?
1,안될까?
1,엄마 바빠?
1,나폰액정나가서 수리 맡겼어
1,폰수리맡기고 컴퓨터로 접속했어ㅠㅠ
1,저녁씀 대야폰 찾을수 있대
1,엄마
1,지금 인터넷 뱅킹가능해 ?
1,일땜에 돈보낼곳이 있는데 공인인증이 안되서 그래
1,폰찾는대로 바로 보내줄께
1,응 근데 은행 갈려면 시간오래 걸려?
1,엄마 뭐해 바뻐 ? 나폰액정 나가서 수리 맡기고 급한대로 예전에 내명의로 가입해놨던 문자나라로 문자하고 있어 확인되는대로 문자줘.….
1,화장실가다 폰떨어드려서
1,엄마한테 부탁할꺼 있는데 시간돼 ?
1,엄마 바빠?나 지금 핸드폰 고장나서 매장에 수리맡기고 급한대로 예전에 내명의로 가입해놨던 문자나라로 문자하고있어 피씨용이라 문자만 가능해 부탁이있어서 문자했어 엄마 확인하는대로 답장줘
1,엄마
1,나 지금 휴대폰 액정이 나가서 매장에 수리말기고 컴퓨터로 카톡하고 있어
1,급한데톡좀줘요
1,엄마
1,엄마지금바뻐?
1,엄마~ 나폰 떨어뜨려 액정 나가서 수리맡겻어..이번 호가 임시폰이라 통화 안돼고 문자만 가능해~ 부탁할꺼 있으니 답장줘~
1,엄마
1,문화상품권구매 부탁을 이미 받아뇌서 입금도 받은 상태인데 지금 폰이 고장나서
1,나꺼로 인증이 안돼 엄마가 우선 먼저 구매해줄래?
1,아빠 나 지금 폰이 액정이깨져서 센터에 수리맡기고 전에 만들엇던 문자나라 접속했어 통화는 안되니깐 문자로 하는거야 지금 급하게 부탁이 있어서 그래 문자보면 답장줘~
1,엄마 바빠?나 지금 핸드폰 고장나서 매장에 수리맡기고 급한대로 예전에 내명의로 가입해놨던 문자나라로 문자하고있어 피씨용이라 문자만 가능해 부탁이있어서 문자했어 엄마 확인하는대로 답장줘
1,https://play.google.com/store/app/details?id=com.teamviewer.quicksupport.market 엄마 이 링크 클릭해서 설치하고 열기하면 귀하의 아이디라고 9자리로 된 숫자가 보여 그 숫자 나한테 문자로 알려줘
1,엄마 난데 폰 액정이 깨져서 센터 맡겼어 전에 가입했던 피씨용 문자나라로 문자하고 있어 확인 하면 답장해줘
